mz,rt,rtmin,rtmax,p_glc
358.2223,116.39999999999999,113.39999999999999,132,290000
499.3386,116.39999999999999,114.6,137.4,920000
541.3481,116.39999999999999,113.39999999999999,137.4,7400000
155.9742,118.2,114.6,135.6,930000
160.0756,118.2,114.6,149.4,6800000
197.0007,118.2,114.6,137.4,5200000
247.1665,118.2,114.6,126.6,3100000
265.1959,118.2,111.60000000000001,125.39999999999999,630000
300.2896,118.2,113.39999999999999,149.4,530000
346.2224,118.2,113.39999999999999,126.6,420000
442.2895,118.2,114.6,144,4800000
574.2796,118.2,114.6,152.4,450000
705.5813,118.2,116.39999999999999,130.2,180000
870.559,118.2,116.39999999999999,132,210000
123.1167,120,116.39999999999999,128.4,160000
193.1384,120,116.39999999999999,132,360000
243.6844,120,114.6,184.8,39000000
244.6874,120,116.39999999999999,133.8,490000
281.295,120,114.6,159.60000000000002,4700000
294.194,120,116.39999999999999,135.6,430000
300.1987,120,114.6,147.6,12000000
435.7832,120,114.6,128.4,710000
442.791,120,114.6,147.6,1500000
445.9705,120,114.6,142.20000000000002,510000
491.7958,120,114.6,147.6,1100000
264.1881,121.79999999999998,118.2,137.4,260000
265.1863,121.79999999999998,116.39999999999999,142.20000000000002,850000
273.0909,121.79999999999998,118.2,156,380000
273.2981,121.79999999999998,120,130.2,200000
284.1182,121.79999999999998,120,145.8,170000
293.1909,121.79999999999998,116.39999999999999,138.6,6100000
293.6925,121.79999999999998,116.39999999999999,138.6,1900000
357.2144,121.79999999999998,116.39999999999999,142.20000000000002,630000
370.2461,121.79999999999998,116.39999999999999,133.8,360000
413.266,121.79999999999998,116.39999999999999,145.8,520000
424.3057,121.79999999999998,114.6,140.39999999999998,1100000
725.9689,121.79999999999998,118.2,145.8,310000
235.0977,123.60000000000001,116.39999999999999,152.4,230000
300.7003,123.60000000000001,114.6,145.8,4100000
350.2067,123.60000000000001,116.39999999999999,149.4,840000
351.2432,123.60000000000001,114.6,145.8,1600000
425.309,123.60000000000001,118.2,133.8,300000
467.2677,123.60000000000001,116.39999999999999,156,1000000
588.3829,123.60000000000001,118.2,133.8,180000
675.5431,123.60000000000001,118.2,133.8,230000
243.6818,125.39999999999999,123.60000000000001,137.4,620000
351.912,125.39999999999999,118.2,142.20000000000002,360000
441.7878,125.39999999999999,113.39999999999999,147.6,10000000
466.2645,125.39999999999999,114.6,156,4900000
664.4566,125.39999999999999,116.39999999999999,142.20000000000002,750000
721.5064,125.39999999999999,116.39999999999999,145.8,800000
722.5103,125.39999999999999,116.39999999999999,142.20000000000002,470000
724.9659,125.39999999999999,116.39999999999999,145.8,580000
181.1083,126.6,121.79999999999998,160.8,320000
298.0968,126.6,120,133.8,820000
386.2765,126.6,121.79999999999998,149.4,740000
483.6467,126.6,116.39999999999999,135.6,410000
499.3055,126.6,116.39999999999999,142.20000000000002,470000
521.3418,126.6,118.2,130.2,180000
584.3799,126.6,121.79999999999998,145.8,960000
